question_id,question,question_type,option,count,percent,percent_text,valid_n
1,您的性别,单选题,男,279,0.5536,55.36%,504
1,您的性别,单选题,女,225,0.4464,44.64%,504
2,年级,单选题,大一,104,0.20629999999999998,20.63%,504
2,年级,单选题,大二,138,0.2738,27.38%,504
2,年级,单选题,大三,155,0.3075,30.75%,504
2,年级,单选题,大四,107,0.21230000000000002,21.23%,504
3,在校期间的平均月消费,单选题,1000元以下,22,0.0437,4.37%,504
3,在校期间的平均月消费,单选题,1001-1500元,129,0.256,25.6%,504
3,在校期间的平均月消费,单选题,1501-2000元,145,0.2877,28.77%,504
3,在校期间的平均月消费,单选题,2001-3000元,123,0.244,24.4%,504
3,在校期间的平均月消费,单选题,3000元以上,85,0.16870000000000002,16.87%,504
4,生活费来源,单选题,全部来自家庭,241,0.4782,47.82%,504
4,生活费来源,单选题,部分来自家庭，部分靠自己赚取,181,0.3591,35.91%,504
4,生活费来源,单选题,全部靠自己赚取,82,0.16269999999999998,16.27%,504
5,每天吃饭的花费约为,单选题,20元以下,39,0.0774,7.74%,504
5,每天吃饭的花费约为,单选题,21-30元,64,0.127,12.7%,504
5,每天吃饭的花费约为,单选题,31-40元,88,0.1746,17.46%,504
5,每天吃饭的花费约为,单选题,41-50元,102,0.2024,20.24%,504
5,每天吃饭的花费约为,单选题,51-60元,106,0.21030000000000001,21.03%,504
5,每天吃饭的花费约为,单选题,60元以上,105,0.20829999999999999,20.83%,504
6,每月用于零食及校外饮食的费用,单选题,无,23,0.045599999999999995,4.56%,504
6,每月用于零食及校外饮食的费用,单选题,1-200,155,0.3075,30.75%,504
6,每月用于零食及校外饮食的费用,单选题,200-500,154,0.3056,30.56%,504
6,每月用于零食及校外饮食的费用,单选题,500以上,172,0.34130000000000005,34.13%,504
7,每月购置生活用品及衣物的费用,单选题,100以下,74,0.14679999999999999,14.68%,504
7,每月购置生活用品及衣物的费用,单选题,100-500,122,0.2421,24.21%,504
7,每月购置生活用品及衣物的费用,单选题,500-1000,143,0.2837,28.37%,504
7,每月购置生活用品及衣物的费用,单选题,1000以上,165,0.3274,32.74%,504
8,每月在化妆品或护肤品方面的花费,单选题,无,25,0.0496,4.96%,504
8,每月在化妆品或护肤品方面的花费,单选题,200以下,97,0.1925,19.25%,504
8,每月在化妆品或护肤品方面的花费,单选题,200-500,123,0.244,24.4%,504
8,每月在化妆品或护肤品方面的花费,单选题,500-1000,137,0.2718,27.18%,504
8,每月在化妆品或护肤品方面的花费,单选题,1000以上,122,0.2421,24.21%,504
9,每月在网络（游戏充值，直播打赏等）的花费,单选题,无,21,0.0417,4.17%,504
9,每月在网络（游戏充值，直播打赏等）的花费,单选题,1-300,101,0.2004,20.04%,504
9,每月在网络（游戏充值，直播打赏等）的花费,单选题,300-800,123,0.244,24.4%,504
9,每月在网络（游戏充值，直播打赏等）的花费,单选题,800-1500,125,0.248,24.8%,504
9,每月在网络（游戏充值，直播打赏等）的花费,单选题,1500以上,134,0.2659,26.59%,504
10,与同学或朋友间聚餐,单选题,从不,96,0.1905,19.05%,504
10,与同学或朋友间聚餐,单选题,一月一次或两次,165,0.3274,32.74%,504
10,与同学或朋友间聚餐,单选题,一周一次或两次,243,0.48210000000000003,48.21%,504
11,是否会购买奢侈品？,单选题,从不,111,0.2202,22.02%,504
11,是否会购买奢侈品？,单选题,偶尔,197,0.3909,39.09%,504
11,是否会购买奢侈品？,单选题,经常,196,0.3889,38.89%,504
12,您觉得自己的生活费,单选题,有富余,248,0.4921,49.21%,504
12,您觉得自己的生活费,单选题,刚好够用,179,0.3552,35.52%,504
12,您觉得自己的生活费,单选题,不够,77,0.1528,15.28%,504
